SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ELAND,E-Land Apparel Limited,EQ,09-MAR-2007,10,1,INE311H01018,10
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,INE205B01023,2
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1,1,INE819L01012,1
EMAMIINFRA,Emami Infrastructure Limited,EQ,28-JUL-2010,2,1,INE778K01012,2
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1
EMCO,Emco Limited,EQ,15-DEC-2005,2,1,INE078A01026,2
EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006,10,1,INE296H01011,10
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10,1,INE753K01015,10
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10
ENERGYDEV,Energy Development Company Limited,EQ,02-NOV-2007,10,1,INE306C01019,10
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10
EON,Eon Electric Limited,EQ,07-JUN-2012,5,1,INE076H01025,5
EQUITAS,Equitas Holdings Limited,EQ,21-APR-2016,10,1,INE988K01017,10
EQUITAS,Equitas Holdings Limited,IL,21-APR-2016,10,1,INE988K01017,10
EROSMEDIA,Eros International Media Limited,EQ,06-OCT-2010,10,1,INE416L01017,10
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10
ESCORTS,Escorts Limited,EQ,01-MAR-1995,10,1,INE042A01014,10
ESL,Electrosteel Steels Limited,EQ,08-OCT-2010,10,1,INE481K01013,10
ESSARSHPNG,Essar Shipping Limited,EQ,15-NOV-2011,10,1,INE122M01019,10
ESSDEE,Ess Dee Aluminium Limited,EQ,28-DEC-2006,10,1,INE825H01017,10
ESSELPACK,Essel Propack Limited,EQ,11-FEB-2002,2,1,INE255A01020,2
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5
EUROCERA,Euro Ceramics Limited,EQ,09-MAR-2007,10,1,INE649H01011,10
EUROMULTI,Euro Multivision Limited,BE,15-OCT-2009,10,1,INE063J01011,10
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10,1,INE022C01012,10
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,10,1,INE688J01015,10
EXCELCROP,Excel Crop Care Limited,EQ,16-JUN-2004,5,1,INE223G01017,5
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10
FAGBEARING,FAG Bearings India Limited,EQ,29-NOV-2000,10,1,INE513A01014,10
FAIRCHEM,Fairchem Speciality Limited,EQ,08-MAY-2015,10,1,INE959A01019,10
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2,1,INE045J01026,2
FCONSUMER,FUTURE CONSUMER LIMITED,EQ,04-JUL-2013,6,1,INE220J01025,6
FCSSOFT,FCS Software Solutions Limited,BE,21-SEP-2005,1,1,INE512B01022,1
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1
FEDDERLOYD,Fedders Lloyd Corporation Limited,EQ,15-SEP-2005,10,1,INE249C01011,10
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2
FEL,FUTURE ENTERPRISES LIMITED,EQ,05-NOV-2001,2,1,INE623B01027,2
FELDVR,Future Enterprises Limited,EQ,13-FEB-2009,2,1,IN9623B01058,2
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10
FILATEX,Filatex India Limited,EQ,29-AUG-2011,10,1,INE816B01019,10
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,10,1,INE183A01016,10
FLEXITUFF,Flexituff International Limited,EQ,19-OCT-2011,10,1,INE060J01017,10
FLFL,Future Lifestyle Fashions Limited,EQ,01-OCT-2013,2,1,INE452O01016,2
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10
FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10,1,INE360L01017,10
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
GAL,Gyscoal Alloys Limited,EQ,27-OCT-2010,1,1,INE482J01021,1
GALLANTT,Gallantt Metal Limited,EQ,04-APR-2006,10,1,INE297H01019,10
GALLISPAT,Gallantt Ispat Limited,EQ,11-OCT-2010,10,1,INE528K01011,10
GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ,03-APR-2008,2,1,INE181G01025,2
GAMMONIND,Gammon India Limited,EQ,16-OCT-1996,2,1,INE259B01020,2
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10
GARDENSILK,Garden Silk Mills Limited,EQ,01-APR-2003,10,1,INE526A01016,10
GARWALLROP,Garware  Wall Ropes Limited,EQ,03-APR-2007,10,1,INE276A01018,10
GAYAPROJ,Gayatri Projects Limited,EQ,22-AUG-2011,2,1,INE336H01023,2
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10
GEMINI,Gemini Communication Limited,EQ,18-JAN-2007,1,1,INE878C01033,1
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1
GEPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10
GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10
GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10
GLOBOFFS,Global Offshore Services Limited,EQ,03-MAY-2007,10,1,INE446C01013,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2
GMRINFRA,GMR Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1
GNA,GNA Axles Limited,EQ,26-SEP-2016,10,1,INE934S01014,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1,1,INE233A01035,1
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1,1,INE516K01024,1
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5,1,INE887G01027,5
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2,1,INE020J01029,2
GOLDENTOBC,Golden Tobacco Limited,BE,20-SEP-2000,10,1,INE973A01010,10
GOLDINFRA,Goldstone Infratech Limited,BE,20-MAR-2002,4,1,INE260D01016,4
GOLDTECH,Goldstone Technologies Limited,BE,11-APR-2001,10,1,INE805A01014,10
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2,1,INE127I01024,2
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,10,1,INE177H01013,10
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2,1,INE024L01027,2
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2,1,INE224A01026,2
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1,1,INE461C01038,1
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10,1,INE999K01014,10
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,INE536A01023,5
GRPLTD,GRP Limited,EQ,12-FEB-2015,10,1,INE137I01015,10
GRUH,Gruh Finance Limited,EQ,10-SEP-2004,2,1,INE580B01029,2
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,15-MAY-2013,10,1,INE542A01039,10
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,INE026A01025,2
GSFC,Gujarat State Fertilizers & Chemicals Limited,IL,06-SEP-1995,2,1,INE026A01025,2
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,EQ,16-JUN-2003,10,1,INE264A01014,10
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10
GSS,GSS Infotech Limited,EQ,07-MAR-2008,10,1,INE871H01011,10
GTL,GTL Limited,EQ,29-MAR-1995,10,1,INE043A01012,10
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10,1,INE221H01019,10
GTNIND,GTN Industries Limited,EQ,02-AUG-1995,10,1,INE537A01013,10
GTNTEX,GTN Textiles Limited,EQ,18-MAY-2006,10,1,INE302H01017,10
GTOFFSHORE,GOL Offshore Limited,EQ,21-DEC-2006,10,1,INE892H01017,10
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10,1,INE186A01019,10
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10,1,INE826C01016,10
GUJFLUORO,Gujarat Fluorochemicals Limited,EQ,25-MAY-1995,1,1,INE538A01037,1
GUJNRECOKE,Gujarat NRE Coke Limited,EQ,02-AUG-2004,10,1,INE110D01013,10
GUJNREDVR,Gujarat NRE Coke Limited,EQ,26-MAY-2010,10,1,IN9110D01011,10
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2,1,INE635Q01029,2
GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,5,1,INE586G01017,5
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1,1,INE255D01024,1
GVKPIL,GVK Power & Infrastructure Limited,EQ,27-FEB-2006,1,1,INE251H01024,1
HANUNG,Hanung Toys and Textiles Limited,EQ,20-OCT-2006,10,1,INE648H01013,10
HARITASEAT,Harita Seating Systems Limited,EQ,06-APR-2009,10,1,INE939D01015,10
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10,1,INE544A01019,10
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2,1,INE982F01036,2
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1,1,INE473B01035,1
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1
HBLPOWER,HBL Power Systems Limited,EQ,04-JAN-2007,1,1,INE292B01021,1
HBSTOCK,HB Stockholdings Limited,EQ,15-OCT-1997,10,1,INE550B01014,10
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1,1,INE549A01026,1
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10,1,INE075I01017,10
HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,2,1,INE236A01020,2
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2
HDFC,Housing Development Finance Corporation Limited,EQ,23-OCT-1996,2,1,INE001A01036,2
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,2,1,INE040A01026,2
HDFCBANK,HDFC Bank Limited,IL,08-NOV-1995,2,1,INE040A01026,2
HDIL,Housing Development and Infrastructure Limited,EQ,24-JUL-2007,10,1,INE191I01012,10
HEG,HEG Limited,EQ,10-MAY-1995,10,1,INE545A01016,10
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10,1,INE578A01017,10
HERCULES,Hercules Hoists Limited,EQ,19-FEB-2008,1,1,INE688E01024,1
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,10,1,INE978A01019,10
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10,1,INE782E01017,10
HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,2,1,INE750M01017,2
HEXAWARE,Hexaware Technologies Limited,EQ,14-JUN-2002,2,1,INE093A01033,2
HFCL,Himachal Futuristic Communications Limited,EQ,09-MAR-2011,1,1,INE548A01028,1
HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10,1,INE170I01016,10
HIGHGROUND,High Ground Enterprise Limited,EQ,24-NOV-2016,1,1,INE361M01021,1
HIKAL,Hikal Limited,EQ,14-FEB-2001,2,1,INE475B01022,2
HIL,HIL Limited,EQ,26-APR-1995,10,1,INE557A01011,10
HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10,1,INE788H01017,10
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5,1,INE049A01027,5
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,INE038A01020,1
HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,10,1,INE310C01011,10
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5,1,INE531E01026,5
HINDDORROL,Hindustan Dorr-Oliver Limited,EQ,06-DEC-1995,2,1,INE551A01022,2
HINDMOTORS,Hindustan Motors Limited,EQ,21-FEB-2011,5,1,INE253A01025,5
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10,1,INE345A01011,10
HINDSYNTEX,Hind Syntex Limited,EQ,08-FEB-1995,10,1,INE155B01012,10
HINDUJAFO,Hinduja Foundries Limited,EQ,26-SEP-2006,10,1,INE291F01016,10
HINDUJAVEN,Hinduja Ventures Limited,EQ,24-APR-2007,10,1,INE353A01023,10
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2,1,INE267A01025,2
HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,2,1,INE835D01023,2
HITECHGEAR,The Hi-Tech Gears Limited,EQ,21-JAN-2002,10,1,INE127B01011,10
HITECHPLAS,Hitech Plast Limited,EQ,20-DEC-2007,10,1,INE120D01012,10
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10,1,INE871K01015,10
HOCL,Hindustan Organic Chemicals Limited,EQ,19-NOV-1997,10,1,INE048A01011,10
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10,1,INE671A01010,10
HONDAPOWER,Honda Siel Power Products Limited,EQ,01-APR-2003,10,1,INE634A01018,10
HOTELEELA,Hotel Leela Venture Limited,EQ,19-JUL-1995,2,1,INE102A01024,2
HOVS,HOV Services Limited,EQ,27-SEP-2006,10,1,INE596H01014,10
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10,1,INE495S01016,10
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1,1,INE019C01026,1
HSIL,HSIL Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2,1,INE501G01024,2
HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,10,1,INE703H01016,10
IBREALEST,Indiabulls Real Estate Limited,EQ,23-MAR-2007,2,1,INE069I01010,2
IBULHSGFIN,Indiabulls Housing Finance Limited,EQ,23-JUL-2013,2,1,INE148I01020,2
IBVENTURES,Indiabulls Ventures Limited,EQ,02-APR-2008,2,1,INE274G01010,2
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2,1,INE483B01026,2
ICRA,ICRA Limited,EQ,13-APR-2007,10,1,INE725G01011,10
ICSA,ICSA (India) Limited,EQ,28-SEP-2006,2,1,INE306B01029,2
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10
IDEA,Idea Cellular Limited,EQ,09-MAR-2007,10,1,INE669E01016,10
IDFC,IDFC Limited,EQ,12-AUG-2005,10,1,INE043D01016,10
IDFC,IDFC Limited,IL,12-AUG-2005,10,1,INE043D01016,10
IDFCBANK,IDFC Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10
IFBAGRO,IFB Agro Industries Limited,EQ,03-APR-1996,10,1,INE076C01018,10
IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10,1,INE559A01017,10
IFCI,IFCI Limited,EQ,26-APR-1995,10,1,INE039A01010,10
IFGLREFRAC,IFGL Refractories Limited,EQ,08-JAN-2004,10,1,INE023B01012,10
IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,10,1,INE188B01013,10
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,10,1,INE203G01019,10
IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007,10,1,INE204A01010,10
IIFL,IIFL Holdings Limited,EQ,17-MAY-2005,2,1,INE530B01024,2
IL&FSENGG,IL&FS Engineering and Construction Company Limited,EQ,25-OCT-2007,10,1,INE369I01014,10
IL&FSTRANS,IL&FS Transportation Networks Limited,EQ,30-MAR-2010,10,1,INE975G01012,10
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,10,1,INE919H01018,10
IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,10,1,INE547E01014,10
IMPEXFERRO,Impex Ferro Tech Limited,EQ,03-FEB-2005,10,1,INE691G01015,10
INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,10,1,INE841B01017,10
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,INE053A01029,1
INDIACEM,The India Cements Limited,EQ,31-MAY-2000,10,1,INE383A01012,10
INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,10,1,INE560A01015,10
INDIANB,Indian Bank,EQ,01-MAR-2007,10,1,INE562A01011,10
INDIANCARD,Indian Card Clothing Company Limited,EQ,08-JAN-1997,10,1,INE061A01014,10
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2,1,INE323C01030,2
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10,1,INE646L01027,10
INDLMETER,IMP Powers Limited,EQ,10-JAN-1996,10,1,INE065B01013,10
INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,10,1,INE092B01017,10
INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,2,1,INE873D01024,2
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,10,1,INE156A01020,10
INDOSOLAR,Indosolar Limited,EQ,29-SEP-2010,10,1,INE866K01015,10
INDOTECH,Indo Tech Transformers Limited,EQ,16-MAR-2006,10,1,INE332H01014,10
INDOTHAI,Indo Thai Securities Limited,EQ,02-NOV-2011,10,1,INE337M01013,10
INDOWIND,Indowind Energy Limited,BE,14-SEP-2007,10,1,INE227G01018,10
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-APR-1997,10,1,INE681B01017,10
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-JUL-1997,10,1,INE915B01019,10
INDSWFTLTD,Ind-Swift Limited,EQ,18-OCT-2004,2,1,INE788B01028,2
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-MAR-2011,2,1,INE611L01021,2
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10
INEOSSTYRO,INEOS Styrolution India Limited,EQ,29-MAR-1995,10,1,INE189B01011,10
INFIBEAM,Infibeam Incorporation Limited,EQ,04-APR-2016,10,1,INE483S01012,10
INFINITE,Infinite Computer Solutions (India) Limited,EQ,03-FEB-2010,10,1,INE486J01014,10
INFOMEDIA,INFOMEDIA PRESS LIMITED,BE,12-OCT-2006,10,1,INE669A01022,10
INFRATEL,Bharti Infratel Limited,EQ,28-DEC-2012,10,1,INE121J01017,10
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,INE009A01021,5
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-APR-1999,10,1,INE177A01018,10
INOXLEISUR,INOX Leisure Limited,EQ,23-FEB-2006,10,1,INE312H01016,10
INOXWIND,Inox Wind Limited,EQ,09-APR-2015,10,1,INE066P01011,10
INSECTICID,Insecticides (India) Limited,EQ,30-MAY-2007,10,1,INE070I01018,10
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014,5,1,INE306R01017,5
INTENTECH,Intense Technologies Limited,EQ,23-MAR-2017,2,1,INE781A01025,2
INVENTURE,Inventure Growth & Securities Limited,EQ,04-AUG-2011,10,1,INE878H01016,10
IOB,Indian Overseas Bank,EQ,07-DEC-2000,10,1,INE565A01014,10
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,10,1,INE242A01010,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,10,1,INE485C01011,10
IPAPPM,International Paper APPM Limited,EQ,13-MAY-2004,10,1,INE435A01028,10
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,2,1,INE571A01020,2
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,10,1,INE821I01014,10
ISFT,Intrasoft Technologies Limited,EQ,12-APR-2010,10,1,INE566K01011,10
ISMTLTD,ISMT Limited,EQ,28-AUG-2007,5,1,INE732F01019,5
ITC,ITC Limited,EQ,23-AUG-1995,1,1,INE154A01025,1
ITDC,India Tourism Development Corporation Limited,EQ,30-DEC-2016,10,1,INE353K01014,10
ITDCEM,ITD Cementation India Limited,EQ,10-FEB-1999,1,1,INE686A01026,1
ITI,ITI Limited,EQ,15-SEP-2003,10,1,INE248A01017,10
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999,2,1,INE050B01023,2
IVP,IVP Limited,EQ,13-SEP-1995,10,1,INE043C01018,10
IVRCLINFRA,IVRCL Limited,EQ,08-MAR-2000,2,1,INE875A01025,2
IZMO,IZMO Limited,EQ,05-FEB-2007,10,1,INE848A01014,10
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006,2,1,INE199G01027,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,5,1,INE048B01027,5
JAIBALAJI,Jai Balaji Industries Limited,EQ,09-DEC-2003,10,1,INE091G01018,10
JAICORPLTD,Jai Corp Limited,EQ,26-NOV-1997,1,1,INE070D01027,1
JAIHINDPRO,Jaihind Projects Limited,EQ,29-FEB-2012,10,1,INE343D01010,10
JAINSTUDIO,Jain Studios Limited,BE,14-JUN-2000,10,1,INE486B01011,10
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010,5,1,INE039C01024,5
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996,5,1,INE571B01028,5
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-MAY-1995,10,1,INE854B01010,10
JBFIND,JBF Industries Limited,EQ,25-FEB-2004,10,1,INE187A01017,10
JBMA,JBM Auto Limited,EQ,17-DEC-2004,5,1,INE927D01028,5
JCHAC,Johnson Controls � Hitachi Air Conditioning India Limited,EQ,03-JAN-2000,10,1,INE782A01015,10
JENSONICOL,Jenson & Nicholson (India) Limited,EQ,31-DEC-1997,2,1,INE819B01021,2
JETAIRWAYS,Jet Airways (India) Limited,EQ,14-MAR-2005,10,1,INE802G01018,10
JHS,JHS Svendgaard Laboratories Limited,EQ,21-OCT-2006,10,1,INE544H01014,10
JIKIND,JIK Industries Limited,BE,26-NOV-2008,10,1,INE026B01049,10
JINDALPHOT,Jindal Photo Limited,BE,07-APR-2005,10,1,INE796G01012,10
JINDALPOLY,Jindal Poly Films Limited,EQ,21-JAN-2002,10,1,INE197D01010,10
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,2,1,INE324A01024,2
JINDALSTEL,Jindal Steel & Power Limited,EQ,29-DEC-1999,1,1,INE749A01030,1
JINDCOT,Jindal Cotex Limited,EQ,22-SEP-2009,10,1,INE904J01016,10
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-DEC-2006,5,1,INE742C01031,5
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,10,1,INE247D01013,10
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2,1,IN9175A01010,2
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-AUG-2001,2,1,INE175A01038,2
JITFINFRA,JITF Infralogistics Limited,BE,27-FEB-2017,2,1,INE863T01013,2
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,10,1,INE823G01014,10
JKIL,J.Kumar Infraprojects Limited,EQ,12-FEB-2008,5,1,INE576I01022,5
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,10,1,INE789E01012,10
JKTYRE,JK Tyre & Industries Limited,EQ,19-MAR-2007,2,1,INE573A01042,2
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,16-MAR-2015,10,1,INE412C01015,10
JMCPROJECT,JMC Projects (India)  Limited,EQ,26-NOV-2007,10,1,INE890A01016,10
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1,1,INE780C01023,1
JMTAUTOLTD,JMT Auto Limited,EQ,02-APR-2007,1,1,INE988E01036,1
JOCIL,Jocil Limited,EQ,08-OCT-2008,10,1,INE839G01010,10
JPASSOCIAT,Jaiprakash Associates Limited,EQ,14-JUN-2004,2,1,INE455F01025,2
JPINFRATEC,Jaypee Infratech Limited,EQ,21-MAY-2010,10,1,INE099J01015,10
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-APR-2005,10,1,INE351F01018,10
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,2,1,INE220G01021,2
JSLHISAR,Jindal Stainless (Hisar) Limited,EQ,28-JAN-2016,2,1,INE455T01018,2
